created_at,tweet,favorite_count,retweet_count,is_quote_status,favorited
2022-12-25 19:46:55+00:00,Haram https://t.co/OVUtRhlQnY,52821,1643,True,False
2022-12-25 17:18:00+00:00,@StuartJones7 @RachelKiwi7 Congrats ;),317,6,False,False
2022-12-25 09:48:47+00:00,@altodomato Mummmmmmmmmmmmmmm plssssssssssss stopppppppppppp,12560,174,False,False
2022-12-24 21:33:57+00:00,@MrBeast Brother chill 😂😂😂,16875,96,False,False
2022-12-24 21:33:26+00:00,How can a man chat so much shit with a record like this? 🤣 https://t.co/1e3Uo5h7aP https://t.co/moUuTHzCgM,18824,253,True,False
2022-12-23 17:34:55+00:00,@LPcandy I expected that tbh 😂😂,10025,40,False,False
2022-12-23 17:34:33+00:00,"Christmas drillings got 3rd on the official charts! Unbelievable. The support on this song has been out of this world and I’ve enjoyed every part of it haha. All proceeds are going to @FareShareUK so to everyone who bought or streamed the song, thank you 🙏🏿 https://t.co/JJbkON6oR3",33289,777,False,False
2022-12-23 17:32:35+00:00,THEY CUT OUT VIK’S VERSE HAHAHAHAHAHA ON RADIO 1 😂😂😂😂😂😂😂😂,119204,1252,False,False
2022-12-23 08:42:39+00:00,Hoping I get to make Tobi bald today 🤞🏿,54865,548,False,False
2022-12-22 22:14:22+00:00,"When you see what I do to Danis January 14th, then you will care… https://t.co/syu0ZeQneI",20904,371,True,False
2022-12-22 21:04:40+00:00,I’m sorry but I’m about do some serious damage to your boy https://t.co/57ivPDZpKr,27997,470,True,False
2022-12-22 16:10:15+00:00,Witness greatness live here: https://t.co/IY9l1HHDiF,4352,50,False,False
2022-12-22 16:08:21+00:00,"January 14th, you’re gonna see super saiyan KSI. 

I have transformed and reached a new level.",52423,707,False,False
2022-12-21 23:49:33+00:00,Erm Harry? @wroetoshaw https://t.co/fKUTPgLvDn,42043,803,False,False
2022-12-21 21:04:09+00:00,Was nuts https://t.co/Aq2xY5OGqK,7428,165,True,False
2022-12-21 19:39:09+00:00,Major giveaway 👀 https://t.co/U7Lj0QNSrL,6762,196,True,False
2022-12-21 18:27:40+00:00,This was crazy https://t.co/7x984pQSrJ,14985,318,True,False
2022-12-21 17:01:51+00:00,Doing something special on my Discord 👀,19684,182,False,False
2022-12-21 14:48:47+00:00,Christmas Drillings - Single by Sidemen https://t.co/iP5TyH5zsf,4680,110,False,False
2022-12-21 14:47:28+00:00,Mad ting. I NEED THIS PLEASE https://t.co/YTWs0PF8Uh,58452,1912,False,False
2022-12-21 14:17:56+00:00,Akademiks’ latest Spotify podcast with Adin Ross was hella interesting. Should defo give it a listen,15669,179,False,False
2022-12-21 00:08:33+00:00,"Just FaceTimed with @Jidion6 

He has done an absolute madness. I can’t wait for this video 😂😂",40258,364,False,False
2022-12-20 20:05:09+00:00,🙌🏿 https://t.co/zamwUZuhiO,8821,210,True,False
2022-12-20 14:38:39+00:00,I’ll give it to him…He’s at least better than Ben Askren 😂😂😂 https://t.co/wdRFHwXpjs,18604,370,True,False
2022-12-19 20:40:33+00:00,2 fights in one night…again? 👀 https://t.co/uPVO5wePRx,17348,300,True,False
2022-12-18 18:00:41+00:00,"Messi has won a World Cup.
Ronaldo has never won a World Cup.

The debate is over people.",557035,57043,False,False
2022-12-18 17:48:10+00:00,"Honestly, both teams need a standing ovation. 

This has been one of the best World Cup Finals I’ve ever seen in my life!",139139,9718,False,False
2022-12-18 17:37:59+00:00,"Kane = Tottenham Bottlejob
Mbappe = Goat

The difference.",56158,1448,False,False
2022-12-18 16:47:17+00:00,@CHIPFAT_ 😂,1280,8,False,False
2022-12-18 16:44:29+00:00,What a World Cup Final,106495,4656,False,False
2022-12-18 15:36:21+00:00,Argentina…Wow,93339,2040,False,False
2022-12-18 15:13:47+00:00,@ksicsgs https://t.co/OauigNfLPb,453,4,False,False
2022-12-18 15:06:54+00:00,And all the Prime in Iceland (country) is sold out https://t.co/3ZwA8Dapox https://t.co/3daOieXPkv,7842,163,True,False
2022-12-18 12:19:54+00:00,Ayyyy let’s goo 😂😂😂😂 https://t.co/vUmvtzNPjA,19819,299,False,False
2022-12-18 12:14:02+00:00,When did this come out?!?!?!? https://t.co/7pAnQb4OO0,40692,1012,False,False
2022-12-18 12:00:05+00:00,@buggibuggiman Lmao yeah 😂😂😂. Like several times,3504,13,False,False
2022-12-18 11:58:01+00:00,"Just found out that a “narcissist” isn’t exactly what I thought it was 😂😂😂

I just have a huge amount of belief in myself",39296,374,False,False
2022-12-17 17:28:42+00:00,@JassalAshley Lmao,351,4,False,False
2022-12-17 13:25:11+00:00,"Sidemen vs Ladbaby, who will win?",38014,397,False,False
2022-12-16 08:28:59+00:00,My dad 😂😂😂 https://t.co/HH8YNH5O6C,157359,3128,False,False
2022-12-15 21:04:28+00:00,"ICELAND, AS IN THE COUNTRY LMAO",37763,199,False,False
2022-12-15 21:01:49+00:00,"PRIME IS NOW IN ICELAND. 

It’s in Kronan and N1. Enjoy 🙌🏿 https://t.co/OEwcK84bcl",87901,1543,False,False
2022-12-14 18:47:19+00:00,Today I am Moroccan,193089,5566,False,False
2022-12-14 12:21:00+00:00,@M_Liilnix LMAO WHAT?!?!?,1863,10,False,False
2022-12-14 12:20:31+00:00,@djoldskooluk Better for it to be real than for it to be a fluff piece innit. I hate docs where it’s so obvious they’re not being real,2276,18,False,False
